amaryllidaceae,aglio
amaryllidaceae,agliofresco
amaryllidaceae,cipolla
amaryllidaceae,cipollarossa
amaryllidaceae,cipollabianca
amaryllidaceae,cipolladorata
amaryllidaceae,scalogno
amaryllidaceae,porro
amaryllidaceae,erbacipollina
amaryllidaceae,cipollotto
amaryllidaceae,aglioorsino
amaryllidaceae,cipolladitropea
amaryllidaceae,cipollaborettana
amaryllidaceae,cipollaramata
amaryllidaceae,cipollapaglierina
amaryllidaceae,cipolladigiarratana
amaryllidaceae,cipolladiacquaviva
amaryllidaceae,cipolladicannara
amaryllidaceae,cipolladicertaldo
amaryllidaceae,cipolladimontoro
amaryllidaceae,cipolladibanari
amaryllidaceae,cipolladisuasa
amaryllidaceae,cipolladiparma
amaryllidaceae,cipolladibrunate
amaryllidaceae,cipolladivatolla
amaryllidaceae,cipolladicastelnuovo
amaryllidaceae,cipolladicavasso
amaryllidaceae,cipolladitreschietto
amaryllidaceae,cipolladimilano
amaryllidaceae,cipolladibassano
amaryllidaceae,cipolladialife
apiaceae,carota
apiaceae,sedano
apiaceae,finocchio
apiaceae,sedanorapa
apiaceae,arracacha
asteraceae,lattuga
asteraceae,radicchio
asteraceae,carciofo
asteraceae,cicoria
asteraceae,indivia
asteraceae,scarola
asteraceae,topinambur
asteraceae,tarassaco
asteraceae,cardo
asteraceae,scorzonera
brassicaceae,broccolo
brassicaceae,cavolfiore
brassicaceae,cavolfiorebianco
brassicaceae,cavolfioreverde
brassicaceae,cavolfioreviola
brassicaceae,cavolo
brassicaceae,verza
brassicaceae,cavoloverza
brassicaceae,cavolocappuccio
brassicaceae,cavolocappuccioverde
brassicaceae,cavolocappuccioviola
brassicaceae,cavolettidibruxelles
brassicaceae,rapa
brassicaceae,ravanello
brassicaceae,ravanellorosso
brassicaceae,ravanellobianco
brassicaceae,cimedirapa
brassicaceae,cavolonero
brassicaceae,mizuna
brassicaceae,komatsuna
brassicaceae,pakchoi
brassicaceae,cavoloriccio
brassicaceae,cavoloriccioverde
brassicaceae,cavoloriccioviola
brassicaceae,daikon
brassicaceae,tatsoi
brassicaceae,rucola
brassicaceae,crescione
brassicaceae,cavolorapa
brassicaceae,broccoloromanesco
brassicaceae,broccolini
brassicaceae,rapini
brassicaceae,gailan
chenopodiaceae,barbabietola
chenopodiaceae,bietola
chenopodiaceae,spinacio
chenopodiaceae,agretti (barbadifrate)
chenopodiaceae,erbabuonenrico (spinacioselvatico)
chenopodiaceae,salicornia (asparagodimare)
chenopodiaceae,barbadifrate
chenopodiaceae,spinacioselvatico
chenopodiaceae,asparagodimare
cucurbitaceae,zucchina
cucurbitaceae,zucca
cucurbitaceae,cetriolo
cucurbitaceae,zuccabutternut
cucurbitaceae,zuccahokkaido
cucurbitaceae,zuccaspaghetti
cucurbitaceae,zuccadelica
cucurbitaceae,zuccamantovana
cucurbitaceae,zuccaviolina
cucurbitaceae,zuccaturban
cucurbitaceae,zuccamarinadichioggia
cucurbitaceae,zuccalungadinapoli
cucurbitaceae,zuccapatisson
cucurbitaceae,zuccaserpentedisicilia
cucurbitaceae,zuccatrombettadialbenga
cucurbitaceae,zuccazuccherinadipiacenza
cucurbitaceae,zuccaberrettinapiacentina
cucurbitaceae,zuccapiacentina
cucurbitaceae,zuccadichioggia
cucurbitaceae,zuccadirovigana
fabaceae,fagiolo
fabaceae,cece
fabaceae,fava
fabaceae,pisello
fabaceae,lenticchia
fabaceae,soia
fabaceae,arachide
fabaceae,lupino
fabaceae,cicerchia
fabaceae,alfa-alfa
lamiaceae,basilico
lamiaceae,menta
lamiaceae,rosmarino
lamiaceae,salvia
lamiaceae,timo
lamiaceae,origano
lamiaceae,maggiorana
lamiaceae,melissa
poaceae,bambù
poaceae,germoglidibambù
solanaceae,pomodoro
solanaceae,pomodorociliegino
solanaceae,pomodorodatterino
solanaceae,pomodorocuoredibue
solanaceae,pomodorosanmarzano
solanaceae,pomodoropachino
solanaceae,pomodororoma
solanaceae,pomodorocostolutofiorentino
solanaceae,pomodoroperino
solanaceae,patata
solanaceae,patataapastagialla
solanaceae,patataapastabianca
solanaceae,patatarossa
solanaceae,patatanovella
solanaceae,patataviola
solanaceae,melanzana
solanaceae,melanzanatonda
solanaceae,melanzanalunga
solanaceae,melanzanabianca
solanaceae,peperone
solanaceae,peperonerosso
solanaceae,peperonegiallo
solanaceae,peperoneverde
solanaceae,peperoncinopiccante
amaryllidaceae,cipollaegiziana
apiaceae,pastinaca
apiaceae,coriandolo
asteraceae,scorzobianca
asteraceae,grespino
brassicaceae,bokchoy
brassicaceae,cavolodinapa
chenopodiaceae,spinacidimalabar
cucurbitaceae,meloneinvernale
fabaceae,fagiolinoverde
fabaceae,edamame
lamiaceae,shiso
poaceae,maisdolce
solanaceae,tomatillo
solanaceae,pepino
